FIRST,LAST,ADDRESS,CITY,STATE,ZIP
Pete,Stauber, 145 Cannon House Office Building,Washington,DC,20515-2308
Elise,Stefanik, 2211 Rayburn House Office Building,Washington,DC,20515-3221
Bryan,Steil, 1526 Longworth House Office Building,Washington,DC,20515-4901
W.,Steube, 2457 Rayburn House Office Building,Washington,DC,20515-0917
Haley,Stevens, 2411 Rayburn House Office Building,Washington,DC,20515-2211
Marilyn,Strickland, 1724 Longworth House Office Building,Washington,DC,20515-4710
Dale,Strong, 449 Cannon House Office Building,Washington,DC,20515-0105
Marlin,Stutzman, 404 Cannon House Office Building,Washington,DC,20515-1403
Suhas,Subramanyam, 1009 Longworth House Office Building,Washington,DC,20515-4610
Thomas,Suozzi, 203 Cannon House Office Building,Washington,DC,20515-3203
Eric,Swalwell, 174 Cannon House Office Building,Washington,DC,20515-0514
Emilia,Sykes, 1217 Longworth House Office Building,Washington,DC,20515-3513
Mark,Takano, 2078 Rayburn House Office Building,Washington,DC,20515-0539
David,Taylor, 325 Cannon House Office Building,Washington,DC,20515-3502
Claudia,Tenney, 2230 Rayburn House Office Building,Washington,DC,20515-3224
Shri,Thanedar, 154 Cannon House Office Building,Washington,DC,20515-2213
Bennie,Thompson, 2466 Rayburn House Office Building,Washington,DC,20515-2402
Glenn,Thompson, 400 Cannon House Office Building,Washington,DC,20515-3815
Mike,Thompson, 268 Cannon House Office Building,Washington,DC,20515-0504
Thomas,Tiffany, 451 Cannon House Office Building,Washington,DC,20515-4907
William,Timmons, 267 Cannon House Office Building,Washington,DC,20515-4004
Dina,Titus, 2370 Rayburn House Office Building,Washington,DC,20515-2801
Rashida,Tlaib, 2438 Rayburn House Office Building,Washington,DC,20515-2212
Jill,Tokuda, 1027 Longworth House Office Building,Washington,DC,20515-1102
Paul,Tonko, 2269 Rayburn House Office Building,Washington,DC,20515-3220
Norma,Torres, 2227 Rayburn House Office Building,Washington,DC,20515-0535
Ritchie,Torres, 1414 Longworth House Office Building,Washington,DC,20515-3215
Lori,Trahan, 2233 Rayburn House Office Building,Washington,DC,20515-2103
Derek,Tran, 1127 Longworth House Office Building,Washington,DC,20515-0545
Michael,Turner, 2183 Rayburn House Office Building,Washington,DC,20515-3510
Lauren,Underwood, 2228 Rayburn House Office Building,Washington,DC,20515-1314
David,Valadao, 2465 Rayburn House Office Building,Washington,DC,20515-0522
Jefferson,Van Drew, 2447 Rayburn House Office Building,Washington,DC,20515-3002
Beth,Van Duyne, 1725 Longworth House Office Building,Washington,DC,20515-4324
Derrick,Van Orden, 1513 Longworth House Office Building,Washington,DC,20515-4903
Juan,Vargas, 2467 Rayburn House Office Building,Washington,DC,20515-0552
Gabe,Vasquez, 322 Cannon House Office Building,Washington,DC,20515-3102
Marc,Veasey, 2186 Rayburn House Office Building,Washington,DC,20515-4333
Nydia,Velázquez, 2302 Rayburn House Office Building,Washington,DC,20515-3207
Eugene,Vindman, 1005 Longworth House Office Building,Washington,DC,20515-4607
Ann,Wagner, 2350 Rayburn House Office Building,Washington,DC,20515-2502
Tim,Walberg, 2266 Rayburn House Office Building,Washington,DC,20515-2205
Debbie,Wasserman Schultz, 270 Cannon House Office Building,Washington,DC,20515-0925
Maxine,Waters, 2221 Rayburn House Office Building,Washington,DC,20515-0543
Bonnie,Watson Coleman, 168 Cannon House Office Building,Washington,DC,20515-3012
Randy,Weber, 107 Cannon House Office Building,Washington,DC,20515-4314
Daniel,Webster, 2184 Rayburn House Office Building,Washington,DC,20515-0911
Bruce,Westerman, 202 Cannon House Office Building,Washington,DC,20515-0404
George,Whitesides, 1504 Longworth House Office Building,Washington,DC,20515-0527
Tony,Wied, 424 Cannon House Office Building,Washington,DC,20515-4908
Nikema,Williams, 1406 Longworth House Office Building,Washington,DC,20515-1005
Roger,Williams, 2336 Rayburn House Office Building,Washington,DC,20515-4325
Frederica,Wilson, 2080 Rayburn House Office Building,Washington,DC,20515-0924
Joe,Wilson, 1436 Longworth House Office Building,Washington,DC,20515-4002
Robert,Wittman, 2055 Rayburn House Office Building,Washington,DC,20515-4601
Steve,Womack, 2412 Rayburn House Office Building,Washington,DC,20515-0403
Rudy,Yakym, 349 Cannon House Office Building,Washington,DC,20515-1402
Ryan,Zinke, 512 Cannon House Office Building,Washington,DC,20515-2600
Angela D.,Alsobrooks,374 Russell Senate Office Building,Washington,DC,20510
Tammy,Baldwin,141 Hart Senate Office Building,Washington,DC,20510
Jim,Banks,303 Hart Senate Office Building,Washington,DC,20510
John,Barrasso,307 Dirksen Senate Office Building,Washington,DC,20510
Michael F.,Bennet,261 Russell Senate Office Building,Washington,DC,20510
Marsha,Blackburn,357 Dirksen Senate Office Building,Washington,DC,20510
Richard,Blumenthal,503 Hart Senate Office Building,Washington,DC,20510
Lisa,Blunt Rochester,513 Hart Senate Office Building,Washington,DC,20510
Cory A.,Booker,306 Hart Senate Office Building,Washington,DC,20510
John,Boozman,555 Dirksen Senate Office Building,Washington,DC,20510
Katie Boyd,Britt,416 Russell Senate Office Building,Washington,DC,20510
Ted,Budd,354 Russell Senate Office Building,Washington,DC,20510
Maria,Cantwell,511 Hart Senate Office Building,Washington,DC,20510
Shelley Moore,Capito,170 Russell Senate Office Building,Washington,DC,20510
Bill,Cassidy,455 Dirksen Senate Office Building,Washington,DC,20510
Susan M.,Collins,413 Dirksen Senate Office Building,Washington,DC,20510
Christopher A.,Coons,218 Russell Senate Office Building,Washington,DC,20510
John,Cornyn,517 Hart Senate Office Building,Washington,DC,20510
Catherine,Cortez Masto,309 Hart Senate Office Building,Washington,DC,20510
Tom,Cotton,326 Russell Senate Office Building,Washington,DC,20510
Kevin,Cramer,313 Hart Senate Office Building,Washington,DC,20510
Mike,Crapo,239 Dirksen Senate Office Building,Washington,DC,20510
Ted,Cruz,167 Russell Senate Office Building,Washington,DC,20510
John R.,Curtis,B11 Russell Senate Office Building,Washington,DC,20510
Steve,Daines,320 Hart Senate Office Building,Washington,DC,20510
Tammy,Duckworth,524 Hart Senate Office Building,Washington,DC,20510
Richard J.,Durbin,711 Hart Senate Office Building,Washington,DC,20510
Joni,Ernst,260 Russell Senate Office Building,Washington,DC,20510
John,Fetterman,142 Russell Senate Office Building,Washington,DC,20510
Deb,Fischer,448 Russell Senate Office Building,Washington,DC,20510
Ruben,Gallego,302 Hart Senate Office Building,Washington,DC,20510
Kirsten E.,Gillibrand,478 Russell Senate Office Building,Washington,DC,20510
Lindsey,Graham,211 Russell Senate Office Building,Washington,DC,20510
Chuck,Grassley,135 Hart Senate Office Building,Washington,DC,20510
Bill,Hagerty,251 Russell Senate Office Building,Washington,DC,20510
Margaret Wood,Hassan,324 Hart Senate Office Building,Washington,DC,20510
Josh,Hawley,379A Russell Senate Office Building,Washington,DC,20510
Martin,Heinrich,709 Hart Senate Office Building,Washington,DC,20510
John W.,Hickenlooper,316 Hart Senate Office Building,Washington,DC,20510
Mazie K.,Hirono,109 Hart Senate Office Building,Washington,DC,20510
John,Hoeven,338 Russell Senate Office Building,Washington,DC,20510
Jon,Husted,198 Russell Senate Office Building,Washington,DC,20510
Cindy,Hyde-Smith,528 Hart Senate Office Building,Washington,DC,20510
Ron,Johnson,328 Hart Senate Office Building,Washington,DC,20510
James C.,Justice,G12 Dirksen Senate Office Building,Washington,DC,20510
Tim,Kaine,231 Russell Senate Office Building,Washington,DC,20510
Mark,Kelly,516 Hart Senate Office Building,Washington,DC,20510
John,Kennedy,437 Russell Senate Office Building,Washington,DC,20510
Andy,Kim,520 Hart Senate Office Building,Washington,DC,20510
Angus S. Jr.,King,133 Hart Senate Office Building,Washington,DC,20510
Amy,Klobuchar,425 Dirksen Senate Office Building,Washington,DC,20510
James,Lankford,731 Hart Senate Office Building,Washington,DC,20510
Mike,Lee,363 Russell Senate Office Building,Washington,DC,20510
Ben Ray,Luján,498 Russell Senate Office Building,Washington,DC,20510
Cynthia M.,Lummis,127A Russell Senate Office Building,Washington,DC,20510
Edward J.,Markey,255 Dirksen Senate Office Building,Washington,DC,20510
Roger,Marshall,479A Russell Senate Office Building,Washington,DC,20510
Mitch,McConnell,317 Russell Senate Office Building,Washington,DC,20510
David,McCormick,702 Hart Senate Office Building,Washington,DC,20510
Jeff,Merkley,531 Hart Senate Office Building,Washington,DC,20510
Ashley,Moody,B40B Dirksen Senate Office Building,Washington,DC,20510
Jerry,Moran,521 Dirksen Senate Office Building,Washington,DC,20510
Bernie,Moreno,B33 Russell Senate Office Building,Washington,DC,20510
Markwayne,Mullin,330 Hart Senate Office Building,Washington,DC,20510
Lisa,Murkowski,522 Hart Senate Office Building,Washington,DC,20510
Christopher,Murphy,136 Hart Senate Office Building,Washington,DC,20510
Patty,Murray,154 Russell Senate Office Building,Washington,DC,20510
Jon,Ossoff,317 Hart Senate Office Building,Washington,DC,20510
Alex,Padilla,331 Hart Senate Office Building,Washington,DC,20510
Rand,Paul,295 Russell Senate Office Building,Washington,DC,20510
Gary C.,Peters,724 Hart Senate Office Building,Washington,DC,20510
Jack,Reed,728 Hart Senate Office Building,Washington,DC,20510
Pete,Ricketts,139 Russell Senate Office Building,Washington,DC,20510
James E.,Risch,483 Russell Senate Office Building,Washington,DC,20510
Jacky,Rosen,713 Hart Senate Office Building,Washington,DC,20510
Mike,Rounds,716 Hart Senate Office Building,Washington,DC,20510
Bernard,Sanders,332 Dirksen Senate Office Building,Washington,DC,20510
Brian,Schatz,722 Hart Senate Office Building,Washington,DC,20510
Adam B.,Schiff,112 Hart Senate Office Building,Washington,DC,20510
Eric,Schmitt,404 Russell Senate Office Building,Washington,DC,20510
Charles E.,Schumer,322 Hart Senate Office Building,Washington,DC,20510
Rick,Scott,110 Hart Senate Office Building,Washington,DC,20510
Tim,Scott,104 Hart Senate Office Building,Washington,DC,20510
Jeanne,Shaheen,506 Hart Senate Office Building,Washington,DC,20510
Tim,Sheehy,G55 Dirksen Senate Office Building,Washington,DC,20510
Elissa,Slotkin,291 Russell Senate Office Building,Washington,DC,20510
Tina,Smith,720 Hart Senate Office Building,Washington,DC,20510
Dan,Sullivan,706 Hart Senate Office Building,Washington,DC,20510
John,Thune,511 Dirksen Senate Office Building,Washington,DC,20510
Thom,Tillis,113 Dirksen Senate Office Building,Washington,DC,20510
Tommy,Tuberville,455 Russell Senate Office Building,Washington,DC,20510
Chris,Van Hollen,730 Hart Senate Office Building,Washington,DC,20510
Mark R.,Warner,703 Hart Senate Office Building,Washington,DC,20510
Raphael G.,Warnock,717 Hart Senate Office Building,Washington,DC,20510
Elizabeth,Warren,311 Hart Senate Office Building,Washington,DC,20510
Peter,Welch,124 Russell Senate Office Building,Washington,DC,20510
Sheldon,Whitehouse,530 Hart Senate Office Building,Washington,DC,20510
Roger F.,Wicker,425 Russell Senate Office Building,Washington,DC,20510
Ron,Wyden,221 Dirksen Senate Office Building,Washington,DC,20510
Todd,Young,185 Dirksen Senate Office Building,Washington,DC,20510
